iter	Passed	Remaining
621	3970	2412
622	3973	2404
623	3976	2396
624	3979	2387
625	3983	2379
626	3987	2371
627	3990	2363
628	3993	2355
629	3996	2347
630	3999	2339
631	4002	2330
632	4005	2322
633	4009	2314
634	4012	2306
635	4016	2298
636	4019	2290
637	4022	2282
638	4026	2274
639	4030	2266
640	4033	2258
641	4036	2250
642	4040	2243
643	4043	2235
644	4047	2227
645	4050	2219
646	4054	2211
647	4057	2204
648	4061	2196
649	4064	2188
650	4068	2180
651	4071	2173
652	4075	2165
653	4079	2158
654	4082	2150
655	4086	2142
656	4089	2135
657	4092	2127
658	4096	2119
659	4100	2112
660	4103	2104
661	4107	2096
662	4110	2089
663	4114	2082
664	4117	2074
665	4121	2066
666	4124	2059
667	4127	2051
668	4131	2044
669	4135	2037
670	4138	2029
671	4142	2022
672	4145	2014
673	4149	2006
674	4152	1999
675	4155	1991
676	4158	1984
677	4162	1976
678	4165	1969
679	4168	1961
680	4172	1954
681	4176	1947
682	4179	1939
683	4182	1932
684	4186	1925
685	4189	1917
686	4192	1910
687	4196	1902
688	4199	1895
689	4202	1888
690	4205	1880
691	4209	1873
692	4212	1866
693	4216	1859
694	4219	1851
695	4222	1844
696	4225	1837
697	4228	1829
698	4231	1822
699	4235	1815
700	4238	1808
701	4242	1800
702	4245	1793
703	4248	1786
704	4252	1779
705	4255	1772
706	4258	1764
707	4262	1757
708	4265	1750
709	4268	1743
710	4272	1736
711	4275	1729
712	4278	1722
713	4281	1715
714	4285	1708
715	4288	1700
716	4291	1693
717	4294	1686
718	4298	1679
719	4301	1672
720	4304	1665
721	4308	1658
722	4311	1651
723	4314	1644
724	4318	1637
725	4321	1630
726	4324	1623
727	4327	1616
728	4330	1609
729	4333	1602
730	4337	1595
731	4339	1588
732	4343	1581
733	4346	1575
734	4349	1568
735	4352	1561
736	4355	1554
737	4359	1547
738	4362	1540
739	4365	1533
740	4368	1526
741	4371	1519
742	4374	1513
743	4377	1506
744	4380	1499
745	4383	1492
746	4386	1485
747	4390	1479
748	4394	1472
749	4397	1465
750	4400	1458
751	4403	1452
752	4406	1445
753	4409	1438
754	4412	1431
755	4415	1424
756	4417	1418
757	4421	1411
758	4424	1404
759	4427	1398
760	4430	1391
761	4433	1384
762	4436	1378
763	4439	1371
764	4442	1364
765	4445	1358
766	4448	1351
767	4451	1344
768	4455	1338
769	4458	1331
770	4461	1325
771	4464	1318
772	4467	1312
773	4470	1305
774	4473	1298
775	4476	1292
776	4479	1285
777	4482	1279
778	4485	1272
779	4488	1266
780	4491	1259
781	4494	1252
782	4497	1246
783	4500	1239
784	4503	1233
785	4506	1226
